,Date,Tweet
144,2022-05-23 01:58:40+00:00,Couples turn to eco-friendly wedding elements as sustainability grows more popular: Report https://t.co/1PCjrhVUru
145,2022-05-23 01:41:28+00:00,Michigan school that passed 'anti-racism resolution' suspends teacher for worksheet comparing Obama to monkeys https://t.co/ZJYSlHGvFn
146,2022-05-23 01:25:12+00:00,Health officials in southern state investigating 'presumptive' monkeypox case https://t.co/9q7ya29R7E
147,2022-05-23 01:14:43+00:00,'SNL's Pete Davidson issues farewell Instagram note as he leaves show https://t.co/ZF5UeaciHk
148,2022-05-23 01:07:32+00:00,Second suspect sought in deadly shooting of 11-year-old Kyhara Tay also wanted for two armed robberies https://t.co/6AkgiS56BE
149,2022-05-23 01:02:47+00:00,Florida family finds nearly 11-foot alligator in pool https://t.co/X1I0vLO4o9
150,2022-05-23 00:58:26+00:00,SF Examiner editorial board demands Pope remove archbishop who barred Nancy Pelosi from communion over abortion https://t.co/0pRqGXhkPg
151,2022-05-23 00:56:29+00:00,.@TheLeoTerrell: Joe Biden 'uses Black people' in his 'game of race division' https://t.co/0RvRLskzFE
152,2022-05-23 00:48:34+00:00,Raise a glass to World Paloma Day with this kicked-up cocktail recipe https://t.co/5FaDB91lmw
153,2022-05-23 00:41:29+00:00,Max Verstappen and Sergio Perez go 1-2 at F1 Spanish Grand Prix https://t.co/vmEz3bPB1a
154,2022-05-23 00:33:51+00:00,OPINION: Ukraine war has taught us that we are all refugees now https://t.co/CUNYEhYaw0
155,2022-05-23 00:28:12+00:00,Mito Pereira addresses collapse on 18th hole https://t.co/tZ1B3kFFR6
156,2022-05-23 00:19:47+00:00,.@GOPChairwoman responds to Cawthorn diatribe: 'I don't know what Dark MAGA is' https://t.co/DsY7Fmk1IX
157,2022-05-23 00:12:15+00:00,2 charged related to shooting near shopping district https://t.co/mU9zhpnvTA
158,2022-05-23 00:05:30+00:00,"Biden top economic adviser dodges recession questions, claims US economy merely in 'period of transition' https://t.co/pmtnTxu9jT"
159,2022-05-22 23:55:22+00:00,Mothers 'stressed out right now' over formula shortage: 'It's very scary' https://t.co/N5gv78027p
160,2022-05-22 23:45:38+00:00,"Police arrest men in undercover drug operation, seize cocaine laced with fentanyl https://t.co/BipPT3P0xT"
161,2022-05-22 23:43:15+00:00,SF Examiner editorial board demands Pope remove archbishop who barred Pelosi from communion over abortion https://t.co/FSrWjKpf1u
162,2022-05-22 23:34:03+00:00,.@scottdixon9 wins Indy 500 pole position with record 234 mph run https://t.co/9s3KRk9vSy
163,2022-05-22 23:28:05+00:00,Kourtney Kardashian and Travis Barker Italian wedding pictures: See inside their lavish nuptials https://t.co/1knAYVyj0G
164,2022-05-22 23:18:46+00:00,"Dem’s anti-price gouging bills are ‘pretty gimmicky,’ likely won’t bring down inflation: Ex-Obama adviser https://t.co/X14IYDXVYh"
165,2022-05-22 23:14:26+00:00,MLB investigate after White Sox accuse Yankees Josh Donaldson of making racist 'Jackie' remark https://t.co/7sAkvljgGL
166,2022-05-22 23:07:28+00:00,"Cops arrest naked man after he allegedly kills infant, 2 others https://t.co/YmR8fBfeM1"
167,2022-05-22 23:05:08+00:00,Megabus rollover leaves 15 people hospitalized https://t.co/EYeRQEzkbc
168,2022-05-22 23:01:07+00:00,MSNBC host slams 'idiot' GOP lawmaker for committee questions on late-term abortion https://t.co/HuIdWVQUcF
169,2022-05-22 22:55:31+00:00,City's police department says auto thefts are up nearly 40% compared to March 2021 https://t.co/D9V9CFps2Z
170,2022-05-22 22:52:06+00:00,"MILKED DRY: The declaration will allow officials to crack down on alleged price gouging of baby formula, according to NYC Mayor Eric Adams. https://t.co/RiSRrbrrmB https://t.co/FA3u8gXGYZ"
171,2022-05-22 22:51:44+00:00,USDA urges summer food safety precautions for outdoor cooking https://t.co/qureTw1XpJ
172,2022-05-22 22:48:56+00:00,Washington Post columnist warns Biden is about to make a blunder with China https://t.co/3c3OYS1CEP
173,2022-05-22 22:43:56+00:00,Meet the American who invented light beer https://t.co/Kj6RIgt3us
174,2022-05-22 22:37:43+00:00,.@marcorubio says bill aiding police homeownership will 'help the people who help us' https://t.co/xKqSLzhUTb
175,2022-05-22 22:32:20+00:00,Elon Musk suggests slashing Twitter offer based on number of bots https://t.co/Zi44tik1cB
176,2022-05-22 22:25:42+00:00,".@KellyannePolls previews memoir, Fox Nation special 'Here's the Deal': 'God had his way' in Trump's 2016 win https://t.co/SlE1bTrNKX"
177,2022-05-22 22:17:03+00:00,HOME (NOT SO) SWEET HOME: The Democratic gubernatorial candidate owns at least two houses in the Peach State. https://t.co/HX8g1OeGwx https://t.co/OKR6hcAO79
178,2022-05-22 22:16:36+00:00,Body of missing University of student found in river https://t.co/VnGotGeWTM
179,2022-05-22 22:03:57+00:00,"Army nears 100% vaccination, claims only 1% refusal among troops https://t.co/UAyCPlouFy"
180,2022-05-22 21:54:48+00:00,Volatility in markets will stick around for 'a long time': Investment expert https://t.co/xNj1kmIasC
181,2022-05-22 21:42:07+00:00,"Democrats praise Biden on CBS, ABC and CNN for ‘very good job' https://t.co/TFumIbuEwD"
182,2022-05-22 21:42:02+00:00,FORMULA NONE: President Biden invoked the Defense Production Act last week to address the nationwide shortage. https://t.co/SlzgkUqThS https://t.co/XfgPduniEh
183,2022-05-22 21:39:34+00:00,"Stacey Abrams says Georgia ‘the worst state in the country to live,’ despite owning multiple houses there https://t.co/imtqFGid46"
184,2022-05-22 21:29:19+00:00,Cleveland Browns to re-sign former No. 1 overall draft pick Jadeveon Clowney: report https://t.co/CTXuYy9DgB
185,2022-05-22 21:20:15+00:00,White House coronavirus advisor supports continued use of masks indoors https://t.co/fO8rxIQzQi
186,2022-05-22 21:13:06+00:00,"WALK THE WALK: @SenTomCotton says if America wants to 'get the upper hand on China,' the Biden administration needs to do more than just talking 'tough.' https://t.co/y54dgnm5ZE https://t.co/AVfyypvByA"
187,2022-05-22 21:07:39+00:00,City's mayor declares state of emergency amid nationwide baby formula shortage https://t.co/6yCubWafvc
188,2022-05-22 21:02:19+00:00,"Stacey Abrams says Georgia ‘the worst state in the country to live,’ despite owning multiple houses there https://t.co/Bsfs46wbte"
189,2022-05-22 20:51:19+00:00,White House economic adviser puts inflation blame on Putin and COVID: 'Unexpected challenges' https://t.co/QlKvSxaPGi
190,2022-05-22 20:46:42+00:00,"Police rescue 2 men, toddler after rubber raft sinks https://t.co/4ZrMi469Jo"
191,2022-05-22 20:40:24+00:00,"Twitter, Amazon annual mtgs., baby formula CEOs on Capitol Hill, Davos kickoff top week ahead https://t.co/zPtXFnprar"
192,2022-05-22 20:37:05+00:00,"HIGH STAKES: @GOPChairwoman says primaries are 'challenging,' but encouraged Republicans to 'focus on who we really need to defeat and that's the Democrat.' https://t.co/aJ4mUypyhQ https://t.co/GkRZRP0TTU"
193,2022-05-22 20:33:42+00:00,World Economic Forum Davos: What to know https://t.co/c7BREksRDC
194,2022-05-22 20:26:49+00:00,"Zelenskyy's global food crisis prediction may be 10 weeks away, UN official says: 'Seismic' https://t.co/TP2Znitlpo"
195,2022-05-22 20:24:00+00:00,ABC’s ‘This Week’ on baby formula crisis: ‘The buck stops in the Oval Office’ https://t.co/sOWJvmqfnt
196,2022-05-22 20:20:52+00:00,Top Ranger tough: Fox Nation's new three-part special chronicles the 'Best Ranger' military competition https://t.co/gKztndUzi0
