"","X","Date","text"
"148",147,"2022-04-28 23:34:46+00:00","‘I’M BACK!’: Trump officially joins TRUTH social. https://t.co/TfHZD8grQO https://t.co/hbIxtsbThr"
"149",148,"2022-04-28 23:30:03+00:00","Los Angeles police respond to armed robbery near high-end Beverly Center mall https://t.co/jhhjZRQf8q"
"150",149,"2022-04-28 23:22:10+00:00","Who is Elon Musk? Fox Nation reveals his key to success https://t.co/7rxZ5vD9IT"
"151",150,"2022-04-28 23:04:23+00:00","Blac Chyna-Kardashians trial to begin closing arguments https://t.co/lcIRTtnlUQ"
"152",151,"2022-04-28 22:57:01+00:00","LIVE UPDATES: Football stars, celebrates descend on red carpet ahead of NFL Draft https://t.co/Tj4GGdGTqf https://t.co/us83LpQSKf"
"153",152,"2022-04-28 22:50:51+00:00","Grim GDP report undercuts Democrats' midterm messaging https://t.co/LogenHq293"
"154",153,"2022-04-28 22:45:14+00:00","National security expert: Biden must revive Trump’s 'energy dominance' to put Putin in his place https://t.co/4ucsY5t35d"
"155",154,"2022-04-28 22:40:50+00:00","NYPD searching for suspects who stole from Brooklyn vape shop in grab-and-go scheme https://t.co/7iLiMHxDUC"
"156",155,"2022-04-28 22:35:16+00:00","Chipotle CFO weighs in on inflation, calls it 'one of the most challenging environments to predict' https://t.co/DxcViMnR1k https://t.co/p2LxMdzctd"
"157",156,"2022-04-28 22:33:56+00:00","FedEx employee charged after allegedly stealing package with iPads, police say https://t.co/X3S3oO2cEt"
"158",157,"2022-04-28 22:25:11+00:00","White House defends DHS 'disinformation' board: 'Not sure who opposes that effort' https://t.co/sFUa9nFVsT"
"159",158,"2022-04-28 22:18:50+00:00","Travis Barker brings Kris Jenner to tears, visits Robert Kardashian Sr.’s grave for blessing to marry Kourtney https://t.co/3X90ufCCTD"
"160",159,"2022-04-28 22:12:46+00:00","BREAKING: James Corden exiting ‘The Late Late Show' in 2023 https://t.co/k3pf292iXS"
"161",160,"2022-04-28 22:10:12+00:00","How to watch the April 2022 solar eclipse online https://t.co/ET9q46qKVs"
"162",161,"2022-04-28 22:00:30+00:00","Trump joins TRUTH Social: 'I'M BACK! #COVFEFE' https://t.co/pEYAx2LxfY"
"163",162,"2022-04-28 21:46:25+00:00","WATCH: Why expert predicts stock market 'bottom' is getting close https://t.co/lZr8PSACAh https://t.co/SKmKaONVsX"
"164",163,"2022-04-28 21:45:04+00:00","HONORING OLD GLORY: Sanitation worker Don Gardner explains why he saved discarded American flag.  https://t.co/XRN2SjAJhm https://t.co/C5SI7DJARV"
"165",164,"2022-04-28 21:44:58+00:00","MSNBC analyst claims he was confronted by a 'Musk bro' at an airport https://t.co/NQmRJJ9yAz"
"166",165,"2022-04-28 21:38:28+00:00","‘NEW FRONTIER’:  Businessman explains why Texas is the perfect place for the social media giant.   https://t.co/oR3l4KG8qg https://t.co/HltLAUWB8m"
"167",166,"2022-04-28 21:33:49+00:00","Russian sanctions: German energy company agrees to Russia's ruble conversion plan https://t.co/wW0MX7oaTH"
"168",167,"2022-04-28 21:26:11+00:00","Oklahoma lawmakers send 6-week abortion ban to governor's desk https://t.co/vJE1g31xDo"
"169",168,"2022-04-28 21:17:18+00:00","Florida man arrested for allegedly burning Dallas lawyer Ira Tobolowsky to death in 2016 https://t.co/KMBCnuCSi3"
"170",169,"2022-04-28 21:11:46+00:00","MSNBC, other liberal outlets repeatedly paint opponents, conservatives as 'fascists' to viewers https://t.co/3lQ0nBGIKE"
"171",170,"2022-04-28 21:02:40+00:00","Immigration nears top of list of urgent issues for Americans, overtaking Ukraine: poll https://t.co/V07WH7ibfr"
"172",171,"2022-04-28 20:54:30+00:00","Elizabeth Warren calls for new 'rules' to govern 'unregulated' social media amid Musk's Twitter takeover https://t.co/iavJyTJNx4"
"173",172,"2022-04-28 20:35:50+00:00",".@cvpayne: You must always be engaged in the market https://t.co/AyugEWEtkB https://t.co/Cy04WS8OoS"
"174",173,"2022-04-28 20:31:04+00:00","FDA releases plan to ban menthol in cigarettes, cigars https://t.co/tuwNUT3tJI"
"175",174,"2022-04-28 20:28:45+00:00","Jorge Masvidal accused of giving Covington a 'brain injury' in Miami attack, ordered to stay away: report https://t.co/0zESfn2Gxt"
"176",175,"2022-04-28 20:22:48+00:00","Tom Cruise reveals ‘Mission: Impossible 7’ title, trailer at CinemaCon 2022 https://t.co/By7f5MWZwR"
"177",176,"2022-04-28 20:13:42+00:00","'Outnumbered' torches Biden disinformation exec who dismissed Hunter's laptop: 'Can't make this up' https://t.co/OjeGqOrWlu"
"178",177,"2022-04-28 20:09:17+00:00","Texas bus carrying baseball team rolls over on highway https://t.co/W9Q9uZQc3K"
